,Med_School,Median_OS_MCAT,Median_OS_GPA,State
0,Albany Medical College,510,3.68,New York
1,Albert Einstein College of Medicine,516,3.84,New York
2,Baylor College of Medicine,518,3.91,Texas
3,Boston University School of Medicine,518,3.84,Massachusetts
4,California Northstate University College of Medicine,514,3.54,California
5,California University of Science and Medicine,514,3.67,California
6,Carle Illinois College of Medicine,512,3.7,Illinois
7,Case Western Reserve University School of Medicine,518,3.82,Ohio
8,Central Michigan University College of Medicine,508,3.62,Michigan
9,Charles E. Schmidt College of Medicine at Florida Atlantic University,511,3.8,Florida
10,Chicago Medical School at Rosalind Franklin University of Medicine & Science,514,3.74,Illinois
11,Columbia University Vagelos College of Physicians and Surgeons,521,3.9,New York
12,Cooper Medical School of Rowan University,507,3.68,New Jersey
13,Creighton University School of Medicine,511,3.78,Nebraska
14,"David Geffen School of Medicine at University of California, Los Angeles",519,3.89,California
15,Dell Medical School - The University of Texas at Austin ,519,3.89,Texas
16,Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,518,3.81,New York
17,Drexel University College of Medicine,512,3.76,Pennsylvania
18,Duke University School of Medicine,518,3.88,North Carolina
19,East Tennessee State University James H. Quillen College of Medicine,506,3.57,Tennessee
20,Eastern Virginia Medical School,512,3.68,Virginia
21,Emory School of Medicine,515,3.8,Georgia
22,Florida International University Herbert Wertheim College of Medicine,515,3.67,Florida
23,Florida State University College of Medicine,505,3.72,Florida
24,Frank H. Netter MD School of Medicine at Quinnipiac University,513,3.68,Connecticut
25,Geisel School of Medicine at Dartmouth,516,3.74,New Hampshire
26,Geisinger Commonwealth School of Medicine,510,3.65,Pennsylvania
27,George Washington University School of Medicine and Health Sciences,512,3.73,Washington D.C.
28,Georgetown University School of Medicine,513,3.79,Washington D.C.
29,Hackensack Meridian School of Medicine at Seton Hall University,510,3.73,New Jersey
30,Harvard Medical School,519,3.93,Massachusetts
31,Howard University College of Medicine,504,3.51,Washington D.C.
32,Icahn School of Medicine at Mount Sinai,519,3.88,New York
33,Indiana University School of Medicine,510,3.8,Indiana
34,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,512,3.74,New York
35,Johns Hopkins University School of Medicine,521,3.94,Maryland
36,Keck School of Medicine of the USC,516,3.75,California
37,Lewis Katz School of Medicine at Temple University,512,3.75,Pennsylvania
38,Loma Linda University School of Medicine,508,3.88,California
39,Louisiana State University School of Medicine in New Orleans,512,3.69,Louisiana
40,Louisiana State University School of Medicine in Shreveport,511,3.49,Louisiana
41,Loyola University Chicago Stritch School of Medicine,510,3.68,Illinois
42,Marshall University Joan C. Edwards School of Medicine,507,3.7,West Virginia
43,Mayo Clinic Alix School of Medicine,520,3.91,Minnesota
44,McGovern Medical School at the University of Texas Health Science Center at Houston,518,3.91,Texas
45,Medical College of Georgia at Augusta University,512,3.87,Georgia
46,Medical College of Wisconsin,510,3.7,Wisconsin
47,Medical University of South Carolina College of Medicine,513,3.78,South Carolina
48,Meharry Medical College,502,3.5,Tennessee
49,Michigan State University College of Human Medicine,504,3.46,Michigan
50,Morehouse School of Medicine,506,3.67,Georgia
51,Morsani College of Medicine at USF Health,517,3.67,Florida
52,New York Medical College,512,3.65,New York
53,New York University Grossman School of Medicine,522,3.95,New York
54,Northeast Ohio Medical University,505,3.75,Ohio
55,Northwestern University Feinberg School of Medicine,520,3.91,Illinois
56,Oakland University William Beaumont School of Medicine,509,3.8,Minnesota
57,Ohio State University College of Medicine,517,3.89,Ohio
58,Oregon Health & Science University School of Medicine,513,3.77,Oregan
59,Penn State University College of Medicine,510,3.8,Pennsylvania
60,Perelman School of Medicine at the University of Pennsylvania,521,3.92,Pennsylvania
61,Renaissance School of Medicine at Stony Brook University,516,3.86,New York
62,Robert Larner College of Medicine at the University of Vermont,512,3.7,Vermont
63,Rush Medical College,512,3.71,Illinois
64,Rutgers New Jersey Medical School,512,3.74,New Jersey
65,Rutgers Robert Wood Johnson Medical School,514,3.62,New Jersey
66,Saint Louis University School of Medicine,514,3.9,Missouri
67,Sidney Kimmel Medical College at Thomas Jefferson University,514,3.74,Pennsylvania
68,Stanford University School of Medicine,520,3.94,California
69,State University of New York Downstate College of Medicine,514,3.72,New York
70,State University of New York Upstate Medical University,515,3.81,New York
71,Texas A&M University College of Medicine,516,3.83,Texas
72,Texas Tech University Health Sciences Center Paul L. Foster School of Medicine,518,3.86,Texas
73,Texas Tech University Health Sciences Center School of Medicine,515,3.88,Texas
74,The University of Texas Health Science Center at San Antonio Joe R. and Teresa Lozano Long School of Medicine,516,3.89,Texas
75,The University of Toledo College of Medicine and Life Sciences,510,3.65,Ohio
76,Tufts University School of Medicine,514,3.72,Massachusetts
77,Tulane University School of Medicine,512,3.63,Louisiana
78,Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,509,3.71,Maryland
79,University of Alabama School of Medicine,510,3.82,Alabama
80,University of Arizona College of Medicine - Phoenix,510,3.69,Arizona
81,University of Arizona College of Medicine - Tucson,513,3.86,Arizona
82,University of Arkansas for Medical Sciences College of Medicine,510,3.72,Arkansas
83,"University of California, Davis School of Medicine",513,3.62,California
84,"University of California, Irvine School of Medicine",515,3.89,California
85,"University of California, San Diego School of Medicine",519,3.88,California
86,"University of California, San Francisco School of Medicine",518,3.9,California
87,University of Central Florida College of Medicine,515,3.8,Florida
88,University of Chicago Division of the Biological Sciences Pritzker School of Medicine,521,3.92,Illinois
89,University of Cincinnati College of Medicine,518,3.84,Ohio
90,University of Colorado School of Medicine,513,3.82,Colorado
91,University of Connecticut School of Medicine,510,3.82,Connecticut
92,University of Florida College of Medicine,515,3.85,Florida
93,University of Hawaii John A. Burns School of Medicine,514,3.85,Hawaii
94,University of Illinois College of Medicine,515,3.75,Illinois
95,University of Iowa Roy J. and Lucille A. Carver College of Medicine,515,3.83,Iowa
96,University of Kansas School of Medicine,511,3.83,Kansas
97,University of Kentucky College of Medicine,511,3.79,Kentucky
98,University of Louisville School of Medicine,509,3.66,Kentucky
99,University of Maryland School of Medicine,513,3.85,Maryland
100,University of Massachusetts Medical School,515,3.78,Massachusetts
101,University of Miami Leonard M. Miller School of Medicine,514,3.75,Florida
102,University of Michigan Medical School,519,3.89,Michigan
103,University of Minnesota Medical School,513,3.77,Minnesota
104,University of Missouri - Columbia School of Medicine,507,3.67,Missouri
105,University of Missouri - Kansas City School of Medicine,507,3.8,Missouri
106,University of Nebraska College of Medicine,511,3.84,Nebraska
107,"University of Nevada Las Vegas, School of Medicine",509,3.41,Nevada
108,"University of Nevada, Reno School of Medicine",511,3.74,Nevada
109,University of New Mexico School of Medicine,506,3.69,New Mexico
110,University of North Carolina at Chapel Hill School of Medicine,516,3.84,North Carolina
111,University of North Dakota School of Medicine and Health Sciences,506,3.77,North Dakota
112,University of Oklahoma College of Medicine,516,3.9,Oklahoma
113,University of Pittsburgh School of Medicine,518,3.88,Pennsylvania
114,University of Rochester School of Medicine and Dentistry,516,3.79,New York
115,University of South Alabama College of Medicine,507,3.89,Alabama
116,University of South Carolina School of Medicine,510,3.84,South Carolina
117,University of South Carolina School of Medicine Greenville,511,3.77,South Carolina
118,University of South Dakota Sanford School of Medicine,509,3.79,South Dakota
119,University of Tennessee Health Science Center College of Medicine,514,3.71,Tennessee
120,University of Texas Medical Branch School of Medicine,517,3.97,Texas
121,University of Texas Rio Grande Valley School of Medicine,509,3.74,Texas
122,University of Texas Southwestern Medical School,519,3.93,Texas
123,University of Utah School of Medicine,513,3.82,Utah
124,University of Virginia School of Medicine,520,3.95,Virginia
125,University of Washington School of Medicine,510,3.79,Washington
126,University of Wisconsin School of Medicine and Public Health,513,3.84,Wisconsin
127,Vanderbilt University School of Medicine,521,3.93,Tennessee
128,Virginia Commonwealth University School of Medicine,512,3.79,Virginia
129,Virginia Tech Carilion School of Medicine,514,3.62,Virginia
130,Wake Forest School of Medicine - Wake Forest Baptist Health,511,3.72,North Carolina
131,Warren Alpert Medical School of Brown University,517,3.83,Rhode Island
132,Washington State University Elson S. Floyd College of Medicine,511,3.31,Washington
133,Washington University School of Medicine in St. Louis,522,3.93,Missouri
134,Wayne State University School of Medicine,509,3.69,Michigan
135,Weill Cornell Medicine,520,3.9,New York
136,West Virginia University School of Medicine,510,3.81,West Virginia
137,Western Michigan University Homer Stryker M.D. School of Medicine,517,3.63,Michigan
138,Wright State University Boonshoft School of Medicine,505,3.63,Ohio
139,Yale School of Medicine,522,3.92,Connecticut
